Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Texto Positivo
"10,0","10,0","10,0","9,7","10,0","9,3","10,0",BMW,X5,2018,2,"
Pontos positivos: design, conforto, impon?ncia e dirigibilidade do mais alto nivel
                                                
Pontos positivos:

Pontos positivos: o carro e perfeito,tem todos os opcionais de fabrica, é o mesmo carro que andei na alemanha.
                                                
Pontos positivos: o carro é perfeito. o acabamento é impecável. o consumo, ótimo. é realmente imponente.
                                                
Pontos positivos:
"
"9,2","9,0","9,5","9,8","9,5","9,0","9,8",BMW,X1,2019,3,"
Pontos positivos: aguardei um tempo após a compra para comentar. somente pontos positivos. o carro é excelente, confortável, espaçoso. a versão de entrada já é contêm todos os items importantes. o modo sport é espetacular na estrada.
                                                
Pontos positivos: bonito, super econ?mico 8 km/l na cidade e 14km/l na estrada andando manso. ?timo acabamento,silencioso, ?timo de dirigir, estabilidade inigual?vel e seguran?a
                                                
Pontos positivos: design moderno e arrojado. econômico.
                                                
Pontos positivos: anda bem, bom de dirigir, consumo baixo na gasolina, boa conectividade entre celular e o carro.
                                                
Pontos positivos: visual ficou mais parecido com os outros da serie x, acabamento interno muito bom, motor muito potente e econômico, visual mais superior do que das antigas, amplo porta malas, sistema concierge, botão sós, chip com internet do próprio carro, consumo muito bom com gasolina (ainda mais por se tratar de um 2.0), excelente para viagens e uso na cidade, aro das rodas é preto. o seguro do carro é, inacreditavelmente, mais barato do que o hyundai ix-35, possui 6 airbags
                                                "
"9,0","9,7","8,3","9,3","9,7","5,7","10,0",MINI,Cooper,2018,2,"
Pontos positivos: carro muito confortável, agil e divertido
                                                
Pontos positivos: veículo excelente! rápido e muito gostoso para dirigir.
                                                
Pontos positivos: muito bom para o segundo carro
                                                
Pontos positivos: motor ótimo
                                                
Pontos positivos: automóvel maravilhoso! ágil, muito bem equipado, motor sensacional! tudo de bom!
                                                "
"9,2","9,5","9,3","9,8","9,8","9,2","9,6",Audi,A3 Sedan,2018,5,"
Pontos positivos: potencia / dirigibilidade / consumo
                                                
Pontos positivos: consumo, design, dirigibilidade 
                                                
Pontos positivos: excelente carro, econômico e anda muito!!!
                                                
Pontos positivos: é inacreditável como é econômico. motor muito bom e potente quando é exigido. silencioso e muito confortável.
                                                
Pontos positivos: design dirigibilidade consumo fantástico ótimo som conforto
                                                "
"9,5","8,5","9,1","9,6","9,6","8,5","9,4",Renault,Fluence,2018,7,"
Pontos positivos: melhor custo/benefício da categoria. conforto. segurança.
                                                
Pontos positivos: conforto e desempenho
                                                
Pontos positivos: conforto e desempenho
                                                
Pontos positivos: tamanho, dirigibilidade, estabilidade, muito silencioso, boa performance, o mecânico faz 9,5 km/l alcool na estrada e 12,8 na gasolina
                                                
Pontos positivos: conforto, n?o precisa da chave para nada, muito silencioso, multimidia, banco em coro.
                                                "
,,,,,,,Toyota,Camry ,2019,2,"
Pontos positivos: carro estiloso, bonit?o, chama aten??o por onde passa, ?tima acelera??o e retomada, seguro tanto em baixa como em alta velocidade, ? preciso ficar esperto no veloc?metro pois ele camufla a velocidade, ?tima estabilidade, silencioso, n?o d? manuten??o, meu carro est? com 70.000 km sem trocar nenhuma pe?a. o consumo para um v6 de 284 cv n?o ? ruim fazendo 9-10 km/litro na cidade e 11-12 km na estrada. carro ideal para longas viagens no asfalto. voc? viaja , viaja e n?o se cansa. ? muito prazeiroso dirig?-lo. ?timo porta malas.
                                                
Pontos positivos: tudo
                                                
Pontos positivos: inigualável conforto. segurança. estabilidade, posição de dirigir, conforto para os passageiros e presença assegurada.
                                                
Pontos positivos: segurança, conforto, silencio, potencia. ar condicionado com sistema ion e de umidificador do ambiente, não ressecando as narinas e os bancos de couro.
                                                
Pontos positivos: motor forte e segurança
                                                "
"8,7","9,3","8,5","9,8","9,9","8,5","9,7",Citroën,DS3,2014,2,"
Pontos positivos: excelente carro, conforto, muito rápido,consumo tá fazendo 10 km/l a gasolina na cidade e 20 km/l de gasolina na estrada.chama muito atenção eu passo com o carro.excelente compra que fiz.estou gostando muito do carro,recomendo a compra do ds3 vc não vai se arrepender...
                                                
Pontos positivos: design, desempenho, consumo e estabilidade.
                                                
Pontos positivos: carro com excelentes performance e acabamento.
                                                
Pontos positivos: veículo que não passa desapercebido,muito bem acertado para sua proposta, alem de exceder expectativas em desempenho e consumo.
                                                
Pontos positivos: desempenho incrivel, dirigibilidade excelente, consumo muito bom para um carro esportivo. melhor ainda, desvaloriza bastante, então o semi novo torna-se uma excelente opção. design diferenciado, se não bonito. seguro ok. 
                                                "
"8,9","9,1","9,1","9,2","9,8","9,1","9,2",Volkswagen,Virtus,2019,2,"
Pontos positivos: carro muito economico, com muito boa dirigibilidade e com ótima aceleração para 1.0 (turbo).
                                                
Pontos positivos: consumo de carro 1.0 e potência de 2.0 (turbo). espaço fantástico. conforto e segurança excelente. estou muito satisfeito.
                                                
Pontos positivos: motor 1.6 16v responde bem, tem o câmbio com engates precisos, suspensão absorve bem as irregularidades da rua, carro silencioso, anda bem e confortável..
                                                
Pontos positivos: agilidade, aceleração, retomada, estabilidade, cambio surpreendente e perfeito. 
                                                
Pontos positivos: espaço interno excelente, conforto total, porta malas de 520 litros, veículo silencioso , motor com ótimo torque, econômico, acredito que custo benefício não tem igual na categoria.
                                                "
"9,2","8,0","9,2","9,6","10,0","9,4","9,6",Volvo,S60,2018,2,"
Pontos positivos: torque, acabamento e exclusividade.
                                                
Pontos positivos: muito gostoso de dirigir e econômico.
                                                
Pontos positivos: acabamento, design, conforto, dirigibilidade, retomada, aceleração.
                                                
Pontos positivos: performance excelente, anda mais que muitos v8, design ultra moderno, acabamento excelente. quanto a manutenção, é preciso acompanhar as revisões, e entender um pouco mecânica, pois o custo pode ficar em 1/3 do valor sugerido pela oficina. bem, o consumo é só um detalhe pra quem compra esse tipo de carro !! 
                                                
Pontos positivos: tudo nele é 10
                                                "
"8,9","10,0","9,2","9,0","9,9","8,0","9,6",Volkswagen,Golf Variant,2018,2,"
Pontos positivos: dirigibilidade, espaço, economia, acabamento, eletrônica embarcada.
                                                
Pontos positivos: são muitos: 07 airbags, controles tração e estabilidade; motor turbo; baixo consumo; sensor de chuva, estacionamento dianteiro e traseiro e crepuscular; paddle shifts; faróis bi-xenon com auxilio em curvas, ajuste do facho e farol alto automático; teto solar panorâmico; porta malas com 605 litros; soft touch no painel; central com mirror link, apple car e android auto e gps; escolha do perfil de condução; estepe com 5ª roda original; start stop do motor; bloqueio do diferencial e auxilio de frenagem; partida sem chave; a/c dual zone com recirculação automática e saída traseira; bancos em couro; aquecimento dos bancos dianteiros com 3 temperaturas; alerta de pressão dos pneus; assistente de partida em rampas; piloto automático, limitador de velocidade e aviso sonoro de velocidade; parafuso antifurto nas rodas; porta luvas refrigerado. quer mais? procure tudo isso em um suv !! eu tentei e desisti !!
                                                
Pontos positivos: design, agilidade do motor em ordem de marcha (para sair da imobilidade o ajuste do acelerador não é dos melhores), porta malas e consumo excepcional.
                                                
Pontos positivos: espaço para bagagem e quatro passageiros bem amplo, conforto, dirigibilidade impressionante, câmbio sem trancos, consumo excelente, tecnologia embarcada.
                                                
Pontos positivos: motor confiável, elástico e com excelente torque. um cambio de 7 marchas espetacular, com trocas imperceptíveis. um consumo muito baixo, quase inacreditável. e se precisar, anda como um verdadeiro carro esportivo.
                                                "
,,,,,,,Kia,Mohave,2017,2,"
Pontos positivos: veículo grande e muito confortável, além de econômico. o o melhor carro que já tive e supera em muito a ranger e a mitsubishi pajero sport, ambas a diesel. o torque com 50 kgmf responde bem sempre que precisa e não tem estrada ruim. o consumo é muito bom pelo tamanho do veículo (9,5 km/l na cidade e 12 km/l na estrada).
                                                
Pontos positivos: o carro é lindo, espaçoso e confortável para todos os passageiros. a terceira fila de bancos não rouba espaço do porta malas quando não utilizado. as peças e o seguro são mais baratos que minha antiga cr-v. que motor é esse amigo???
                                                
Pontos positivos: segurança, conforto, torque (50kgf), potência (250hp), motor ""diesel v6"", espaço ""7"" lugares, robustez, consumo moderado para um v6.
                                                
Pontos positivos: economico,potencia carro esportivo,comforto e tecnologia
                                                
Pontos positivos: oferece muito conforto e segurança com a maioria das tecnologiais disponíveis atualmente. anda muito e bebe pouco. com o carro cheio, de pessoas e bagagens, o veículo nem sente. mantém velocidade cruzeiro com facilidade, fazendo ultrapassagens seguras e vc sente sempre o carro na mão. potente, econômico e estável.
                                                "
"8,7","9,0","8,7","8,0","9,3","8,3","7,7",Subaru,XV,2017,2,"
Pontos positivos: estilo, conforto, consumo, acabamento, espaço interno e confiabilidade
                                                
Pontos positivos: excelente conjunto mecânico, muito estável e seguro, econômico.
                                                
Pontos positivos: tração nas 4 rodas, otimo ao rodar, silencioso
                                                
Pontos positivos: vários, especialmente performance e consumo.
                                                
Pontos positivos: quase tudo!!!
                                                "
"8,9","8,1","9,1","9,6","9,7","8,5","9,4",Mitsubishi,Lancer,2019,7,"
Pontos positivos: carro de mulher n?o fumante e est? com 15.000 km, feitosua segunda revis?o.

                                                
Pontos positivos: bancos em couro
cinco rodas em liga (inclusive esterpe)
pneus novos (trocados) 225/45 r18
protetor de carter ,vidros escuros de f?brica, sistema anti-furto completo
todas as mnt de manual realizadas na concecion?ria
                                                
Pontos positivos: desempenho em rodovias, retocadas estabilidade conforto, excepcional 
                                                
Pontos positivos: conjunto suspensão, cambio cvt e motor 160cv são show, muito bem harmonizados, no meu gosto, superou civic, corolla e focus que tive. consumo excelente na estrada chega a fazer 14 dependendo do pé. apesar de defasado o design ainda chama atenção.
                                                
Pontos positivos: sem dúvida o design é o destaque.
                                                "
"9,6","8,0","9,8","9,8","9,7","9,4","8,7",Chery,Tiggo 2,2019,2,"
Pontos positivos: ergonomia, design, ítens de série
                                                
Pontos positivos: muito confortável para dirigir. acessórios excelentes como computador de bordo , ar condicionado, teto solar maraaa. 

                                                
Pontos positivos: lindo. espaçoso. bom de dirigir. 
                                                
Pontos positivos: veiculo extremamente elegante, alto do solo, confortável e com a mecânica acertada 
                                                
Pontos positivos: estável, comfortavel, alto, painel de instrumentos tem muitas opções, o carro tem bastante acessorios, acabamento esta muito bom, consumo (mais de 9 na cidade - etanol).
                                                "
"9,0","7,7","9,3","10,0","9,3","9,3","10,0",Kia,Cadenza,2016,3,"
Pontos positivos: conforto, desempenho e beleza
                                                
Pontos positivos: bonito, confortavel, excelente desempenho, estabilidade, consumo bem razoável, não quebra, fácil encontrar usados perfeitos a preço de 4 cilindros mancos que não oferecem nada.
                                                
Pontos positivos: carro muito confortável não só para quem dirige mas para os passageiros, algo que não se encontra nos carros mais populares da de 10 a 0 em carros nacionais,lindo carro muito satisfeito coitada da ""toyotinha"" uma farsa. e muitos outros carros ficam muito para traz.
                                                
Pontos positivos: veículo extremamente confortável, mecânica perfeita, prazer ao dirigir, custo de manutenção muito baixo, consumo de comb. baixo, melhor custo benefício da categoria
                                                
Pontos positivos: ótimo
                                                "
"9,4","9,0","9,4","8,6","9,6","9,2","9,4",Nissan,Tiida Sedan,2013,4,"
Pontos positivos: ?tima dirigibilidade, motor 1.8 com consumo de carro 1.0, manuten??o baixa,  interior confort?vel.
                                                
Pontos positivos: econômico, excelente conforto.
                                                
Pontos positivos: excelente carro! ano 2013, mas fabricado em 2012. ou seja, estou com esse carro a 5 anos. uso diariamente fazendo um trajeto de 60 km/dia. nunca tive problema nenhum! muito gostoso de dirigir, sem barulho, macio, responde muito bem. super confortável. espaço interno excelente, em especial para passageiros e a mala é enorme. apenas tive problemas com a balança devido ao uso, mas depois de uns 3 anos de uso. a manutenção é bem completa sendo a de 40 mil km mais cara. estou com dó de trocar e não achei ainda um carro com mesmas qualidades. ah e o consumo é muito bom.
                                                
Pontos positivos: comprei zero meu tiida e nunca tive problemas, é um excelente carro, ótimo espaço interno, se não tivesse saído de linha com certeza pegaria outro zero do mesmo modelo.
                                                
Pontos positivos: espaçoso, confortável, consumo na cidade 11 km/l, mecânica excelente, muito bom o acabamento interno e externo.
                                                "
"9,2","8,0","9,3","9,0","9,4","9,0","8,7",Suzuki,Grand Vitara,2016,7,"
Pontos positivos: espa?o interno. durabilidade. conforto. robustez. ar condicionado digital eficiente. carro pra toda hora.
                                                
Pontos positivos: conforto e confiabiliade.
                                                
Pontos positivos: robustez, conforto, segurança, acabamento, esmero no projeto, durabilidade das peças e do conjunto.
                                                
Pontos positivos: robusto, confortável, bancos traseiros rebatem o que faz aumentar o porta malas, bom espaço interno, ótimos faróis!
                                                
Pontos positivos: tem tudo. muito confort?vel .
                                                "
"9,0","9,0","8,5","9,0","9,5","8,5","9,0",Honda,Accord,2017,6,"
Pontos positivos: carro de presen?a ? para quem conhece e gosta de requinte.
                                                
Pontos positivos: 10
                                                
Pontos positivos: tudo!
                                                
Pontos positivos: beleza, conforto, porta-malas enorme, motor confiável, potência sem igual, teto solar, automático, bancos de couro.
                                                
Pontos positivos: o carro é estável, confiável, silencioso e é dificil você não encontrar a\ melhor posição para dirigir.
                                                "
"9,3","8,9","9,6","9,8","9,8","9,0","9,1",Jac,T5,2018,7,"
Pontos positivos: confortavel e ecómomico na estrada, e na cidade eu recomendo a compra da jac t5 cvt,
                                                
Pontos positivos: carro flex 1. 5  que  f?brica n?o  costuma vender,  s? a gasolina
                                                
Pontos positivos: linhas bonitas, tem boa estabilidade, porta malas e espaço interno ótimos.
                                                
Pontos positivos: um veículo completo, econômico e sem falar do seu incrível desempenho
                                                
Pontos positivos: como j? possui, as tr?s outras marcas,  a jac t5,supera  todos os testes como suv atual. 
                                                "
"10,0","9,0","8,0","10,0","10,0","10,0","9,0",Toyota,RAV4,2018,6,"
Pontos positivos: a rav4 um excelente carro para família, um ótimo espaço interno, segurança e design atrativo. a lanternas de leds com desenhos modernos
                                                
Pontos positivos: for?a,pot?ncia,dire??o,visual externo,acelera??o
                                                
Pontos positivos: carro muito bom gostei so nao sei se na hora de vender qual vai ser a desvalorizaçao
                                                
Pontos positivos: economia, visibilidade, tração, conforto principalmente quem senta-se no banco de trás e muito potente, superando todas minhas expectativas.
                                                
Pontos positivos: é um toyota, manutenção relativamente barata, design, conforto, espaço interno, consumo
                                                "
"10,0","9,0","9,8","10,0","9,4","8,8","9,3",Citroën,DS5,2014,2,"
Pontos positivos: tudo !!! carro espetacular !
                                                
Pontos positivos: designe, acabamento luxuoso, economia x potência e depreciação baixa em relação aos concorrentes em preço.
                                                
Pontos positivos: design impecável, acabamento primoroso. itens de série deixam o carro absolutamente completo (não falta nada). o couro é o melhor que já vi em carros de luxo. estou conseguindo ótima média de consumo dentro de brasília (10,5 km/l). motor muito bom, já consagrado pela bmw.
                                                
Pontos positivos: carro único, inconfundível, marcante por onde anda, não passa despercebido. é sempre um prazer ter que dirigi esse carro, as viagens mesmo longas se tornam prazerosas !!!
                                                
Pontos positivos: design, dirigibilidade e espaço
                                                "
"10,0","9,0","9,7","9,3","9,7","9,3","9,7",SsangYong,Rexton,2015,2,"
Pontos positivos: conforto, dirigibilidade, força, estabilidade muito boa, motor e câmbio mercedes benz, espaço interno, 7 lugares que leva 8 pessoas.
                                                
Pontos positivos: economia
                                                
Pontos positivos:

Pontos positivos: um carro muito completo, fácil de dirigir, muito seguro, bom em qualquer terreno, ec.onômico para a categoria, 7 lugares
                                                
Pontos positivos: veiculo muito bom confortável para dirigir, boa altura responde muito rápido na hora que pisa fundo na acelerador, tenho certeza que fiz uma boa compra.
                                                "
"9,8","9,0","9,6","9,6","9,8","9,2","9,6",Renault,Megane Cabriolet,2009,0,"
Pontos positivos: carroceria fabricada pela karmann, teto de vidro, completo.
                                                
Pontos positivos: lindo e potente.
                                                
Pontos positivos: o carro é incrivelmente bom em tudo,seja no conforto,dirigibilidade,segurança,beleza e tecnologia.!!!
                                                
Pontos positivos: confortavel e é bonito
                                                
Pontos positivos: acabamento, teto, direção, porta-malas.
                                                "
"9,9","9,3","9,8","9,9","9,9","8,9","9,4",Jac,T40,2019,2,"
Pontos positivos: muito bonito,confortavel,economico,muito boa dirigibilidade e desempenho,e baixo consumo.
                                                
Pontos positivos: acabamento interno perfeito, motor responde bem, freios eficientes. veículo me surpreendeu, os chineses acertaram sem sombra de duvidas. as vendas só crescem que é positivo por demais.
                                                
Pontos positivos: design incrível, espaço excelente, econômico, ótimo acabamento. um carro com personalidade.
                                                
Pontos positivos: ótimo no asfalto, estrada de chão na chuva.
econômico, bonito,  
                                                
Pontos positivos: bonito, confortável, econômico, suspensão elevada e traz muitos recursos de segurança.
                                                "
"10,0","9,2","9,8","9,2","10,0","9,8","9,8",Nissan,Altima,2014,0,"
Pontos positivos: ótimo acabamento, dirigibilidade e consumo. tem opcionais que a maioria dos carros da categoria não tem, nem nas versões topo de linha. vale a pena.
                                                
Pontos positivos: carrão. espaçoso e economico na ciadade e na estrada.
                                                
Pontos positivos: consumo, conforto, cambio cvt, baixo custo de manutenção.
                                                
Pontos positivos: bonito, bem acabado, som espetacular, consumo de gasolina muito satisfatório.
                                                
Pontos positivos: câmbio cvt, torque, prazer em dirigir, bancos desenvolvidos pela nasa, som bose, quantidade de acessórios de série.
                                                "
"10,0","10,0","10,0","10,0","10,0","10,0","10,0",Land Rover,Defender,2011,2,"
Pontos positivos: seguranca, mecanica facil
                                                
Pontos positivos: um carro que oferece uma ótima dirigibilidade mesmo no transito, na lama e imbatível.
                                                
Pontos positivos: é o carro certo para todas as horas. bonito em todas as ocasiões. se for na fazenda, ele dá conta. se for na cidade, ele dá conta. sempre faz bonito. todo mundo tem curiosidade e vontade de ter um defender. o defender, realmente é o mito.
                                                
Pontos positivos: consumo, manutencao, icone, beleza...
                                                
Pontos positivos: torque
tração
reduzida
ângulos ataque e saída, altura do solo
consumo
revenda
fácil mecânica


                                                "
"9,9","10,0","9,5","9,5","10,0","9,6","9,6",Suzuki,S-Cross,2019,2,"
Pontos positivos: consumo faz até 15 km com 1lt , conforto
                                                
Pontos positivos: extremamente seguro nas curvas, principalmente na chuva, bastante econômico e quando precisa no modo sport responde bem para um motor de 120hp. bancos confortáveis, fácil de dirigir. o sistema de abertura das portas com o botão esterno é o máximo.
                                                
Pontos positivos: economia de combustivel. motor 1.6 de ótima performance. estabilidade em curvas. sistem all gripp 4x4 que dá segurança em dia de chuva e estrada escorregadias.
                                                
Pontos positivos: muito confortável, ágil, econômico, seguro e espaçoso. comparei com diversos concorrentes japoneses, coreanos e nacionais. na minha opinião o melhor custo/beneficio.o sistema all grip é sensacional! suspensões absorvem tudo!embora tenha dado 10 em manutenção, não utilizei este serviço, comprei o carro a apenas 1 mes.
                                                
Pontos positivos: ó não dei nota maior que 10 para alguns itens porque não tem, ex dirigibilidade, segurança e consumo, não tenho palavras para descrever, consumo com combustível novo dt clean chegou fazer 24km/l a 80 kmh por hora, a 100kmh por hora fez 21,7 se usar no modo sport com mais torque e respostas rapidas faz 16,7 a 100kmh, passo as lombadas direto, absorve bem o impacto dos nossos asfaltos, no paralelepípedo anda com conforto, ele corrigi os movimentos errados, dá uma segurada através da tração, nas curvas ele simplesmente é fantástico gruda no chão, em local onde meu outro carro derrapava e cantava pneu em subidas ele nem sentiu passou, comparei com outros suvs não tem comparação, ligo o carro sem chave, multimídia tem tudo, carro para família, seguro barato, disparado o melhor carro que já dirigi, excelente uso urbano e trilhas leves, simplesmente um sonho.
                                                "
"10,0","8,8","9,8","10,0","10,0","9,5","10,0",Volkswagen,Passat CC,2012,2,"
Pontos positivos: controle de estabilidade ótimo, um veiculo barato para um v6.
                                                
Pontos positivos: 'e o mais rapido de todos os 6 cilindros . ganha de 0 - 100 km/h  da bmw serie 5 ( 6 cilindros) , da classe e 350 , da porsche cayene 6 cilindros . a dirigibilidade com os comandos no volante mostram um prazer ao motorista inenarravel..
seu design  lateral 'e o mais bonito . 
                                                
Pontos positivos: -torque em baixa rotação é superior mesmo comparado com motores v8.
- tração integral nas 4 rodas garante estabilidade excelente além de arrancadas seguras.
                                                
Pontos positivos: carro excelente e confortavel....
                                                
Pontos positivos: bom pois ja cheguei ha 260 km/h
                                                "
"10,0","10,0","10,0","10,0","10,0","10,0","9,5",Toyota,Prius,2018,2,"
Pontos positivos: silencioso, fino acabamento que não poderia ser diferente de um toyota. educa vc a buscar mais e mais uma excelente condução.estou muito feliz com meu prius.
                                                
Pontos positivos: comprei usado com 45.000km, está agora com 53.500km. um carro diferenciado pela inovação e pelo design. meu primeiro toyota, e agora entendi a fama: faz jus. super econômico, confortável, vários recursos tecnológicos, baixa manutenção, baixo custo de revisão, 8 anos de garantia do sistema híbrido. te educa a dirigir com com eficiência.
                                                
Pontos positivos: ótimo projeto no geral, oferecendo silêncio incomparável durante a condução. ótima dirigibilidade, acabamento, consumo e opcionais.
                                                
Pontos positivos: espaçoso, boa mala sem ser um carro grande. conforto e silêncio. economia nem se fala. dirigibilidade precisa e fácil. multimidia completa e ótimo som.
                                                
Pontos positivos: muito gostoso de dirigir, som, painel, economia, design
                                                "
