Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Price,ranking,Value,vendas_normalizada,Grupo,link
3.0,9.0,9.0,3.0,7.0,8.0,7.0,FIAT,UNO FURGÃO,2016,3,30252.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/37757_1.png
5.8,8.2,7.3,6.8,7.3,7.8,7.2,VOLKSWAGEN,BRASÍLIA,1981,5,17800.0,,0.0,0.0,3,
9.0,9.0,9.5,10.0,10.0,9.0,10.0,VOLKSWAGEN,FUSCA,2016,7,107352.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/55827_1.png
5.0,0.0,5.0,10.0,7.0,8.0,7.0,FIAT,FIORINO,2019,4,60070.0,,0.0,0.0,3,
6.5,8.5,9.0,6.2,9.0,9.5,9.2,FORD,COURIER,2013,5,24940.0,,0.0,0.0,3,
5.8,6.2,7.0,4.8,5.8,6.2,5.8,VOLKSWAGEN,KOMBI,2014,7,36538.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/19798_1.png
8.1,8.1,7.6,9.3,8.4,5.8,7.6,LIFAN,320,2012,4,17098.0,,0.0,0.0,1,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/6791_1.png
7.1,8.2,6.4,6.4,8.1,4.6,6.8,RENAULT,19,1998,4,6724.0,,0.0,0.0,3,
6.2,6.2,5.1,6.9,7.2,4.1,6.8,FIAT,DUCATO,2018,3,108500.0,,0.0,0.0,4,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/124757_1.png
6.0,3.5,2.0,8.3,6.3,2.5,6.3,FORD,RANGER (CABINE SIMPLES-ESTENDIDA),2019,7,124200.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/127229_1.png
4.7,6.5,6.0,4.3,4.0,5.7,5.0,FIAT,147,1987,4,2442.0,,0.0,0.0,3,
7.6,9.0,8.4,7.5,8.5,8.0,8.0,VOLKSWAGEN,GOL,2019,7,44990.0,5.0,32.512,0.3627761660343673,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/130763_1.png
8.2,6.7,6.9,7.3,8.6,5.6,7.7,FIAT,TIPO,1997,7,5573.0,,0.0,0.0,3,
7.3,7.4,5.7,8.0,8.1,4.4,7.9,JAC,J3 TURIN,2015,6,30475.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/34665_1.png
7.6,9.4,8.4,7.2,7.8,6.4,7.7,PEUGEOT,106,2001,5,7331.0,,0.0,0.0,0,
7.8,7.2,8.4,9.1,8.9,9.0,8.6,CHEVROLET,CELTA,2016,7,27983.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/47578_1.png
8.0,6.9,8.0,8.0,8.6,7.6,7.4,FORD,FIESTA HATCH,2014,7,24275.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/3415_1.png
8.5,7.5,6.5,9.5,8.5,7.0,6.5,KIA,SOUL,2019,3,89990.0,,0.0,0.0,0,
8.5,7.7,8.3,8.3,8.5,8.0,8.7,FORD,PAMPA,1997,4,11941.0,,0.0,0.0,0,
7.6,6.3,7.6,7.6,8.3,7.6,8.8,CHEVROLET,KADETT,1998,7,9097.0,,0.0,0.0,1,
7.3,8.0,8.3,7.2,8.8,8.0,7.8,CHEVROLET,CHEVETTE SEDAN,1993,7,7448.0,,0.0,0.0,3,
5.7,9.1,8.9,7.2,7.9,9.1,7.5,FIAT,UNO MILLE,2013,7,16778.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/1812_1.png
7.5,7.7,7.8,7.2,7.7,7.4,8.0,VOLKSWAGEN,APOLLO,1992,4,6279.0,,0.0,0.0,3,
9.7,7.3,9.3,8.7,10.0,8.7,9.0,VOLKSWAGEN,QUANTUM,2002,7,12945.0,,0.0,0.0,3,
8.8,8.0,9.5,9.2,9.2,8.5,8.2,FORD,F-1000,1998,4,16206.0,,0.0,0.0,3,
8.0,8.0,8.8,8.6,9.0,8.8,8.6,PEUGEOT,206 CC,2008,3,42872.0,,0.0,0.0,1,
6.9,5.5,7.3,7.8,8.2,7.1,7.0,MITSUBISHI,PAJERO TR4,2015,7,49786.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/18463_1.png
6.1,6.2,7.1,7.0,7.2,6.9,7.3,CHEVROLET,CLASSIC,2016,7,28914.0,,0.0,0.0,0,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/38251_1.png
8.9,7.9,7.9,8.1,8.8,7.0,8.6,FORD,VERONA,1996,7,6731.0,,0.0,0.0,3,
7.7,7.5,8.3,8.1,8.6,8.6,8.4,CHEVROLET,CORSA HATCH,2012,7,23014.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/10651_1.png
5.3,5.5,5.3,7.3,6.3,6.4,6.6,VOLKSWAGEN,VOYAGE,2019,7,52640.0,23.0,15.282,0.17051997322026333,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/130765_1.png
8.6,7.9,8.9,8.8,8.7,8.5,8.7,CHEVROLET,AGILE,2014,7,33485.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/12178_1.png
8.3,9.4,6.1,9.3,9.0,5.4,8.9,MERCEDES-BENZ,CLASSE B,2018,4,155900.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/109845_1.png
8.0,7.0,8.7,7.0,8.7,9.0,9.0,CHEVROLET,MONTANA,2019,7,49890.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/126840_1.png
7.8,8.2,7.8,8.2,8.3,7.9,7.3,CHEVROLET,CORSA WAGON,2002,7,11504.0,,0.0,0.0,3,
9.2,6.6,7.9,7.8,8.1,8.1,7.9,FORD,DEL REY,1991,5,4751.0,,0.0,0.0,3,
7.5,8.3,8.7,7.1,8.1,8.5,8.1,FIAT,ELBA,1996,5,7015.0,,0.0,0.0,3,
8.0,7.5,7.0,7.5,9.0,7.0,7.5,TROLLER,T4,2018,6,128994.0,,0.0,0.0,0,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/120013_1.png
6.8,6.8,6.9,7.1,7.2,6.4,7.8,CHEVROLET,SPIN,2019,7,63990.0,31.0,9.817,0.10954028118723498,3,
8.4,5.5,7.7,8.8,8.8,7.1,8.5,HYUNDAI,VERACRUZ,2012,4,63422.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/478_1.png
7.6,6.2,6.9,7.8,7.7,6.7,7.2,FIAT,GRAND SIENA,2019,7,46990.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/131008_1.png
10.0,10.0,10.0,10.0,10.0,9.8,10.0,CHEVROLET,S10 CABINE SIMPLES,2019,4,116790.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/126819_1.png
8.4,8.7,8.7,8.7,9.0,9.2,8.1,FIAT,UNO,2019,7,42990.0,43.0,4.761,0.05312430261102432,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/131514_1.png
8.3,8.5,8.5,9.0,9.2,8.1,8.6,FORD,KA HATCH,2019,7,45490.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130900_1.png
7.3,8.1,7.2,9.4,8.4,7.1,8.9,CHEVROLET,S10 CABINE DUPLA,2019,7,94990.0,,0.0,0.0,1,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/126803_1.png
7.9,8.3,8.2,8.0,8.6,8.3,8.1,CHERY,FACE,2015,5,23605.0,,0.0,0.0,0,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/28850_1.png
7.6,7.6,7.6,8.7,8.4,6.7,8.0,PEUGEOT,206 SW,2008,7,15518.0,,0.0,0.0,4,
8.6,7.1,8.3,8.0,9.1,8.1,8.6,CHEVROLET,MONZA,1996,7,7427.0,,0.0,0.0,3,
8.3,7.3,7.8,9.2,8.5,7.3,8.1,RENAULT,SANDERO STEPWAY,2019,7,60000.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/127212_1.png
8.7,8.5,7.5,8.2,8.9,6.0,8.5,RENAULT,MEGANE HATCH,2005,6,14695.0,,0.0,0.0,3,
8.6,9.1,9.4,9.3,9.4,9.7,9.0,VOLKSWAGEN,SAVEIRO,2019,7,49790.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/128865_1.png
8.5,5.2,5.0,8.8,8.8,5.2,9.2,JEEP,GRAND CHEROKEE,2018,6,279990.0,,0.0,0.0,2,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/126629_1.png
10.0,10.0,10.0,10.0,10.0,10.0,10.0,MITSUBISHI,L200,2012,5,49781.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/683_1.png
6.6,7.4,8.0,7.2,7.5,7.6,7.8,CHEVROLET,CORSA PICK-UP,2003,5,14665.0,,0.0,0.0,3,
8.0,6.0,8.0,9.0,10.0,7.0,8.0,SUBARU,IMPREZA SEDAN,2016,3,104900.0,,0.0,0.0,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/38782_1.png
8.3,8.0,7.2,9.2,9.0,6.4,7.9,FORD,RANGER (CABINE DUPLA),2019,7,110790.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127181_1.png
8.0,6.5,7.5,6.5,8.5,8.0,7.5,CHEVROLET,IPANEMA,1998,7,9028.0,,0.0,0.0,3,
8.8,6.4,7.8,9.1,8.8,7.5,7.7,JEEP,COMPASS,2018,6,105990.0,9.0,28.19400000000001,0.3145949564829279,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/118687_1.png
8.4,7.4,8.7,8.4,9.3,8.0,9.1,VOLKSWAGEN,SANTANA,2006,7,18549.0,,0.0,0.0,3,
8.7,7.0,7.4,9.5,9.0,7.6,7.6,HYUNDAI,I30,2016,7,70160.0,,0.0,0.0,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/42113_1.png
8.4,6.2,6.5,8.2,7.7,5.3,7.6,CITROËN,C4 PALLAS,2013,7,31563.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/18591_1.png
9.4,6.7,8.0,8.9,9.1,6.9,9.0,FIAT,TEMPRA,1999,7,8170.0,,0.0,0.0,3,
8.7,6.9,8.6,8.7,8.5,7.7,8.4,CHEVROLET,CORSA SEDAN,2012,7,23475.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/1946_1.png
9.5,9.2,6.5,8.5,9.8,6.5,9.2,LAND ROVER,FREELANDER,2015,4,121437.0,,0.0,0.0,0,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/27694_1.png
8.5,6.8,7.9,9.3,8.7,5.8,8.6,DODGE,DAKOTA,2001,3,18906.0,,0.0,0.0,3,
9.0,6.6,8.4,8.5,9.2,8.2,8.8,MITSUBISHI,AIRTREK,2008,3,29269.0,,0.0,0.0,3,
8.2,5.2,5.4,9.3,9.0,5.5,8.1,HYUNDAI,SANTA FE,2018,7,196702.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/108449_1.png
8.4,8.0,7.6,9.0,9.0,7.4,8.6,RENAULT,DUSTER,2019,7,74490.0,37.0,8.402000000000001,0.09375139477795136,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127273_1.png
8.0,6.1,6.9,8.7,8.2,6.9,7.5,FIAT,PUNTO,2017,7,44634.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/64188_1.png
8.1,7.9,8.4,8.5,9.1,8.0,8.5,FORD,FIESTA SEDAN,2014,7,25803.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/3438_1.png
7.8,8.1,7.7,9.0,8.5,6.9,7.8,SEAT,IBIZA,2002,3,8827.0,,0.0,0.0,0,
9.2,7.2,8.4,9.6,9.4,8.0,9.0,PEUGEOT,307,2012,7,28313.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/2672_1.png
9.5,7.5,9.0,10.0,9.5,9.0,9.0,CITROËN,C4 PICASSO,2019,6,134990.0,,0.0,0.0,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/130366_1.png
7.6,6.4,7.1,8.6,7.6,7.5,7.7,HYUNDAI,HB20,2019,7,43990.0,2.0,50.419,0.5625864762329836,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/126411_1.png
8.7,8.3,8.0,9.4,9.3,8.5,9.5,CHEVROLET,TRACKER,2018,7,85890.0,26.0,13.44,0.14996652532916754,4,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/121975_1.png
8.4,7.1,7.1,9.2,9.2,6.0,9.2,VOLKSWAGEN,POINTER,1996,5,6376.0,,0.0,0.0,3,
7.9,8.4,8.2,9.1,8.6,6.2,8.9,JAC,J2,2016,5,42390.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/55556_1.png
8.6,7.8,8.3,8.8,9.2,7.8,8.7,FORD,ECOSPORT,2019,7,69990.0,21.0,15.988,0.17839767908948895,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/125828_1.png
7.4,7.3,7.6,8.6,7.8,6.9,7.6,RENAULT,SANDERO,2019,7,45000.0,11.0,25.093000000000004,0.27999330506583353,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127364_1.png
8.5,8.8,9.1,8.8,9.1,9.0,8.7,RENAULT,CLIO SEDAN,2009,7,16998.0,,0.0,0.0,3,
9.2,7.7,8.0,8.3,9.2,6.4,8.6,CITROËN,XSARA BREAK,2003,5,9789.0,,0.0,0.0,3,
8.4,7.3,8.7,8.8,9.0,8.7,9.1,CHEVROLET,ASTRA HATCH,2011,7,27340.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/1874_1.png
9.4,7.5,8.0,8.7,9.3,7.0,8.4,CITROËN,XSARA PICASSO,2012,7,25361.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/9700_1.png
8.0,8.1,8.1,8.7,9.1,7.6,8.6,VOLKSWAGEN,FOX,2019,7,49990.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/130769_1.png
8.8,9.4,8.6,9.2,9.6,7.2,8.8,FORD,ESCORT SW,2003,7,11039.0,,0.0,0.0,3,
9.8,7.8,8.8,7.8,9.6,7.8,9.2,FIAT,MAREA,2007,7,16050.0,,0.0,0.0,4,
8.4,7.7,8.8,8.7,9.3,7.4,9.2,VOLKSWAGEN,POLO CLASSIC,2002,7,11277.0,,0.0,0.0,3,
8.0,7.2,7.0,8.5,8.7,6.7,7.8,VOLKSWAGEN,AMAROK,2019,7,197930.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/132092_1.png
8.7,8.7,9.7,8.0,9.0,8.0,8.7,PEUGEOT,HOGGAR,2014,3,21572.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/33901_1.png
8.6,7.8,7.5,8.6,8.3,7.6,8.2,PEUGEOT,207,2015,7,28266.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/22556_1.png
9.5,6.0,9.5,9.5,9.5,6.5,8.5,FORD,MONDEO,2006,6,23468.0,,0.0,0.0,3,
8.7,8.8,9.0,9.3,8.9,8.9,8.7,RENAULT,LOGAN,2019,7,46900.0,30.0,10.097999999999999,0.1126757420218701,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127547_1.png
7.7,8.7,8.9,9.4,8.3,8.4,9.1,MITSUBISHI,L200 OUTDOOR,2012,4,49667.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/7694_1.png
8.8,8.2,8.8,9.0,9.2,9.1,9.0,FORD,VERSAILLES,1996,5,7528.0,,0.0,0.0,3,
8.7,6.9,8.2,8.2,9.0,7.9,8.9,CHEVROLET,VECTRA,2011,7,29486.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/2329_1.png
9.2,8.9,8.9,9.2,9.6,9.0,9.3,VOLKSWAGEN,CROSSFOX,2018,7,71290.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/107723_1.png
8.1,7.1,7.9,8.7,8.9,8.0,8.3,CHEVROLET,VECTRA GT,2011,7,30390.0,,0.0,0.0,1,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/2351_1.png
8.6,7.7,8.8,8.1,8.7,8.7,8.4,CHEVROLET,MERIVA,2012,7,24990.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/2058_1.png
8.5,7.7,8.0,9.2,8.9,7.2,9.3,HYUNDAI,TUCSON,2019,7,137900.0,52.0,2.653,0.029602767239455482,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/125829_1.png
9.2,7.8,8.8,9.7,9.3,8.7,9.5,MITSUBISHI,PAJERO DAKAR,2015,4,101473.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/18485_1.png
8.5,8.5,5.5,9.0,9.0,9.0,9.0,VOLKSWAGEN,SPACEFOX,2019,7,66710.0,53.0,2.511,0.028018299486721715,3,
8.6,7.2,7.8,9.3,9.1,7.1,8.3,FIAT,TORO,2019,6,90990.0,,0.0,0.0,4,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/125882_1.png
8.9,8.5,8.4,8.9,8.9,8.3,8.5,CHEVROLET,COBALT,2019,7,59990.0,38.0,8.309,0.09271367998214684,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/131824_1.png
9.3,7.8,7.8,8.8,9.3,6.3,8.0,FIAT,STILO,2011,7,23423.0,,0.0,0.0,2,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/1536_1.png
8.2,8.5,8.1,9.2,8.7,8.1,8.0,CITROËN,C3,2019,7,50390.0,47.0,3.639,0.040604775719705416,0,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/127678_1.png
9.7,7.6,8.8,9.6,9.7,9.0,8.9,CITROËN,AIRCROSS,2019,7,59290.0,49.0,2.951,0.03292791787547422,2,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127782_1.png
9.2,7.8,8.8,9.2,9.2,9.0,9.5,FIAT,STRADA,2019,7,43590.0,,0.0,0.0,3,
7.4,8.2,8.6,8.5,8.2,9.1,8.0,FIAT,SIENA,2016,7,34429.0,36.0,8.545,0.09534702075429592,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/43031_1.png
8.7,6.3,7.8,9.4,8.9,7.5,8.7,VOLKSWAGEN,NEW BEETLE,2010,4,39175.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/4689_1.png
7.5,6.6,8.1,9.5,8.4,6.8,7.6,JAC,J6,2016,4,59990.0,,0.0,0.0,2,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/55547_1.png
8.5,9.0,8.5,9.0,9.5,7.0,9.5,MITSUBISHI,PAJERO FULL,2019,7,201990.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130325_1.png
7.5,5.6,8.6,8.5,8.8,8.1,8.4,FIAT,PALIO WEEKEND,2014,7,31688.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/13270_1.png
8.7,8.4,8.7,9.5,9.1,8.7,8.6,CHEVROLET,PRISMA,2019,7,49590.0,6.0,32.015,0.3572305288997991,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130591_1.png
9.1,7.7,8.9,9.1,9.4,7.6,8.9,PEUGEOT,307 SEDAN,2011,7,26005.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/2712_1.png
8.9,8.6,8.7,9.4,9.3,8.2,9.1,PEUGEOT,206,2010,7,15372.0,,0.0,0.0,3,
8.3,7.9,8.4,8.5,8.9,8.2,8.4,VOLKSWAGEN,POLO SEDAN,2014,7,34603.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/12011_1.png
9.0,9.8,10.0,9.2,9.8,9.8,9.5,CHEVROLET,OMEGA,2011,7,55891.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/7956_1.png
8.7,8.9,8.4,9.2,9.4,8.4,9.1,VOLKSWAGEN,GOLF,2018,7,91790.0,65.0,1.7209999999999999,0.0192033028341888,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/132219_1.png
,,,,,,,VOLKSWAGEN,PASSAT,2018,4,178130.0,,0.0,0.0,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/121171_1.png
7.7,7.7,9.3,9.0,9.0,7.7,6.7,LIFAN,X60,2019,7,68990.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/125073_1.png
9.2,8.0,9.5,8.5,9.5,9.4,9.4,CHEVROLET,ASTRA SEDAN,2011,7,26528.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/7952_1.png
8.7,6.5,8.5,9.5,8.8,8.8,9.3,FORD,F-250,2011,3,86777.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/3388_1.png
8.6,7.4,4.4,7.6,7.8,3.8,8.4,RENAULT,SCENIC,2011,7,25891.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/3096_1.png
8.7,7.7,7.8,8.6,9.0,7.7,8.0,CITROËN,C3 PICASSO,2015,4,38172.0,,0.0,0.0,2,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/24407_1.png
8.4,8.5,7.5,8.7,8.8,8.0,8.0,FIAT,ARGO,2019,3,45990.0,10.0,27.983,0.3122405713010489,3,
